request,Candidate:token,Candidate:id,Candidate,Candidate_Entity:token,Candidate_Entity:id,Candidate_Entity,Election_Status:token,Election_Status:id,Election_Status,Status_of_Candidate:token,Status_of_Candidate:id,Status_of_Candidate,Specific_Party:token,Specific_Party:id,Specific_Party,General_Party:token,General_Party:id,General_Party,Election_Jurisdiction:token,Election_Jurisdiction:id,Election_Jurisdiction,Election_Year:token,Election_Year:id,Election_Year,Election_Type:token,Election_Type:id,Election_Type,Office_Sought:token,Office_Sought:id,Office_Sought,Incumbency_Status:token,Incumbency_Status:id,Incumbency_Status,General_Office:token,General_Office:id,General_Office,#_of_Records,Total_$
dt=1&s=WI&y=2000&c-exi=1&c-r-ot=H&c-t-id=102090&c-r-ot=H,c-t-id,102090,"KAUFERT, DEAN R",c-t-eid,13009602,"KAUFERT, DEAN R",c-t-ftsts,Won-General,Won-General,c-t-sts,1,Won,c-t-pt,139,REPUBLICAN,c-t-p,2,Republican,s,WI,WI,y,2000,2000,c-r-t,1,Standard,c-r-osid,8701,"ASSEMBLY DISTRICT 055",c-t-ico,I,Incumbent,c-r-ot,H,"State House/Assembly",94,52703.37
dt=1&s=WI&y=2000&c-exi=1&c-r-ot=H&c-t-id=102136&c-r-ot=H,c-t-id,102136,"GUNDRUM, MARK D",c-t-eid,3333668,"GUNDRUM, MARK D",c-t-ftsts,Won-General,Won-General,c-t-sts,1,Won,c-t-pt,139,REPUBLICAN,c-t-p,2,Republican,s,WI,WI,y,2000,2000,c-r-t,1,Standard,c-r-osid,8730,"ASSEMBLY DISTRICT 084",c-t-ico,I,Incumbent,c-r-ot,H,"State House/Assembly",309,52678.09
dt=1&s=WI&y=2000&c-exi=1&c-r-ot=H&c-t-id=102168&c-r-ot=H,c-t-id,102168,"MCCORMICK, TERRI",c-t-eid,19890474,"MCCORMICK, TERRI",c-t-ftsts,Won-General,Won-General,c-t-sts,1,Won,c-t-pt,139,REPUBLICAN,c-t-p,2,Republican,s,WI,WI,y,2000,2000,c-r-t,1,Standard,c-r-osid,8702,"ASSEMBLY DISTRICT 056",c-t-ico,O,Open,c-r-ot,H,"State House/Assembly",233,51165.71
dt=1&s=WI&y=2000&c-exi=1&c-r-ot=H&c-t-id=102160&c-r-ot=H,c-t-id,102160,"MEYERHOFER, LEE P",c-t-eid,13009474,"MEYERHOFER, LEE P",c-t-ftsts,Won-General,Won-General,c-t-sts,1,Won,c-t-pt,33,DEMOCRATIC,c-t-p,1,Democratic,s,WI,WI,y,2000,2000,c-r-t,1,Standard,c-r-osid,8651,"ASSEMBLY DISTRICT 005",c-t-ico,I,Incumbent,c-r-ot,H,"State House/Assembly",218,50368.25
dt=1&s=WI&y=2000&c-exi=1&c-r-ot=H&c-t-id=102135&c-r-ot=H,c-t-id,102135,"PLALE, JEFF",c-t-eid,13009498,"PLALE, JEFF",c-t-ftsts,Won-General,Won-General,c-t-sts,1,Won,c-t-pt,33,DEMOCRATIC,c-t-p,1,Democratic,s,WI,WI,y,2000,2000,c-r-t,1,Standard,c-r-osid,8667,"ASSEMBLY DISTRICT 021",c-t-ico,I,Incumbent,c-r-ot,H,"State House/Assembly",184,50014.16
dt=1&s=WI&y=2000&c-exi=1&c-r-ot=H&c-t-id=102137&c-r-ot=H,c-t-id,102137,"WIECKERT, STEVE",c-t-eid,6588897,"WIECKERT, STEVE",c-t-ftsts,Won-General,Won-General,c-t-sts,1,Won,c-t-pt,139,REPUBLICAN,c-t-p,2,Republican,s,WI,WI,y,2000,2000,c-r-t,1,Standard,c-r-osid,8703,"ASSEMBLY DISTRICT 057",c-t-ico,I,Incumbent,c-r-ot,H,"State House/Assembly",204,49376.93
dt=1&s=WI&y=2000&c-exi=1&c-r-ot=H&c-t-id=102088&c-r-ot=H,c-t-id,102088,"VRAKAS, DANIEL P",c-t-eid,6588713,"VRAKAS, DANIEL P",c-t-ftsts,Won-General,Won-General,c-t-sts,1,Won,c-t-pt,139,REPUBLICAN,c-t-p,2,Republican,s,WI,WI,y,2000,2000,c-r-t,1,Standard,c-r-osid,8679,"ASSEMBLY DISTRICT 033",c-t-ico,I,Incumbent,c-r-ot,H,"State House/Assembly",211,49178.22
dt=1&s=WI&y=2000&c-exi=1&c-r-ot=H&c-t-id=48637&c-r-ot=H,c-t-id,48637,"SUCHLA, DEB",c-t-eid,13009709,"SUCHLA, DEB",c-t-ftsts,Lost-General,Lost-General,c-t-sts,2,Lost,c-t-pt,139,REPUBLICAN,c-t-p,2,Republican,s,WI,WI,y,2000,2000,c-r-t,1,Standard,c-r-osid,8741,"ASSEMBLY DISTRICT 095",c-t-ico,O,Open,c-r-ot,H,"State House/Assembly",272,46374.00
dt=1&s=WI&y=2000&c-exi=1&c-r-ot=H&c-t-id=102153&c-r-ot=H,c-t-id,102153,"BALOW, LARRY C",c-t-eid,6391337,"BALOW, LARRY C",c-t-ftsts,Won-General,Won-General,c-t-sts,1,Won,c-t-pt,33,DEMOCRATIC,c-t-p,1,Democratic,s,WI,WI,y,2000,2000,c-r-t,1,Standard,c-r-osid,8714,"ASSEMBLY DISTRICT 068",c-t-ico,I,Incumbent,c-r-ot,H,"State House/Assembly",160,45569.02
dt=1&s=WI&y=2000&c-exi=1&c-r-ot=H&c-t-id=48661&c-r-ot=H,c-t-id,48661,"WEYCKER, BRENT",c-t-eid,13009697,"WEYCKER, BRENT",c-t-ftsts,Lost-General,Lost-General,c-t-sts,2,Lost,c-t-pt,139,REPUBLICAN,c-t-p,2,Republican,s,WI,WI,y,2000,2000,c-r-t,1,Standard,c-r-osid,8736,"ASSEMBLY DISTRICT 090",c-t-ico,C,Challenger,c-r-ot,H,"State House/Assembly",181,45456.00
